"Submission Date","Username","Level","Total XP","Collector Badge","Jogger Badge","Team","XP Screenshot","Collector Badge Screenshot","Jogger Badge Screenshot",""
"2016-11-19 12:29:28","Germaniak","27","1219137","3705","326","Instinct","[Screenshot_2016-11-19-12-28-05.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/d5df3a6Screenshot_2016-11-19-12-28-05.png","[Screenshot_2016-11-19-12-27-55.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/d27620aScreenshot_2016-11-19-12-27-55.png","[Screenshot_2016-11-19-12-27-46.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/d0d3426Screenshot_2016-11-19-12-27-46.png",""
"2016-11-19 12:19:07","Cathaymon","28","1495534","4687","426.7","Valor","[IMG_1996.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/67c9592IMG_1996.PNG","[IMG_1995.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/781167fIMG_1995.PNG","[IMG_1994.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/8a185f7IMG_1994.PNG",""
"2016-11-19 12:17:15","Bits1957","32","3337770","8940","584.2","Instinct","","","",""
"2016-11-19 12:13:23","Swandalf1","28","1553216","4819","541.8","Mystic","[IMG_1991.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/931f673IMG_1991.PNG","[IMG_1993.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/c7499ecIMG_1993.PNG","[IMG_1992.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/20d2608IMG_1992.PNG",""
"2016-11-19 12:11:01","goriffic","25","753883","2257","223.7","Instinct","[IMG_0137.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/a42faabIMG_0137.png","[IMG_0138.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/a40edb7IMG_0138.png","[IMG_0139.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/a3bf61fIMG_0139.png",""
"2016-11-19 12:10:48","Darwing36","29","144765","5886","380","Valor","[Pokémon GO_2016-11-19-12-09-22.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/96b6a8cPok%C3%A9mon%20GO_2016-11-19-12-09-22.png","[Pokémon GO_2016-11-19-12-09-50.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/962cc89Pok%C3%A9mon%20GO_2016-11-19-12-09-50.png","[Pokémon GO_2016-11-19-12-10-16.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/95eeac3Pok%C3%A9mon%20GO_2016-11-19-12-10-16.png",""
"2016-11-19 12:09:00","Peekachew4u","28","1356368","3020","379.7","Instinct","[IMG_0180.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/2b4d644IMG_0180.PNG","[IMG_0187.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/2b20118IMG_0187.PNG","[IMG_0188.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/0f4158aIMG_0188.PNG",""
"2016-11-19 12:08:24","undgbggngh","17","159605","663","45.5","Instinct","[IMG_0151.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/066a1ceIMG_0151.png","[IMG_0150.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/04bcbc5IMG_0150.png","[IMG_0149.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/02cf3a0IMG_0149.png",""
"2016-11-19 12:08:11","Hashable","28","1542949","3792","484.1","Instinct","[tmp_13219-Screenshot_20161119-1202101125482822.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/f9b8de8tmp_13219-Screenshot_20161119-1202101125482822.png","[tmp_13219-Screenshot_20161119-120223985479891.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/f5eed89tmp_13219-Screenshot_20161119-120223985479891.png","[tmp_13219-Screenshot_20161119-120337521975156.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/f247featmp_13219-Screenshot_20161119-120337521975156.png",""
"2016-11-19 12:06:50","avalai","27","1178698","3806","324.4","Instinct","","","",""
"2016-11-19 12:05:11","TyrMpatt","30","2034710","5941","747","Instinct","[Screenshot_2016-11-19-11-56-11.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/0e58224Screenshot_2016-11-19-11-56-11.png","[Screenshot_2016-11-19-11-58-15.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/0d1cf47Screenshot_2016-11-19-11-58-15.png","[Screenshot_2016-11-19-12-00-25.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/0adc17bScreenshot_2016-11-19-12-00-25.png",""
"2016-11-19 12:04:53","lukegecko","21","330695","858","59.1","Valor","[IMG_0146.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/331e2a1IMG_0146.png","[IMG_0147.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/33a4f06IMG_0147.png","[IMG_0148.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/32278b3IMG_0148.png",""
"2016-11-19 12:04:49","pokemoncooper88 ","26","184286","3067","246.5","Instinct","[Screenshot_2016-11-19-12-02-39.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/307123eScreenshot_2016-11-19-12-02-39.png","[Screenshot_2016-11-19-12-02-53.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/30306a4Screenshot_2016-11-19-12-02-53.png","[Screenshot_2016-11-19-12-02-47.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/3000914Screenshot_2016-11-19-12-02-47.png",""
